"","h","Agg","nc_yield","mpa_yield","nc_prop_msy","mpa_prop_msy"
"152",0.16,1.2,15194.9472621604,19213.250289084,0.588286323460941,0.884209099562469
"153",0.16,1.3,19310.8665494385,20733.8199997185,0.724359352975083,0.929132394623243
"154",0.17,0.5,4.46565950171001,5342.48222570367,0.000322626683335745,0.4387368625914
"155",0.17,1.4,19402.2458569201,21091.8034273215,0.71072938733036,0.922585871393291
"156",0.17,1.5,22262.467238632,22145.2403876463,0.79766747786701,0.950391517950009
"157",0.17,1.6,24397.0957087037,22957.4146498096,0.859221645749877,0.968211716049801
"158",0.17,1.7,26002.4699299968,23589.6498477327,0.900564507214448,0.980815366404733
"159",0.17,1.8,27215.76074,24088.3779,0.930531374701064,0.988376433987156
"160",0.17,1.9,28146.2681197776,24487.6611317084,0.950175492367665,0.994240855563531
"161",0.17,2,28874.2844928781,24811.9913799083,0.964339019277768,0.996784167129499
"162",0.17,-1,32958.5283900448,26835.9114628528,0.993749936336344,0.978328842393656
"163",0.17,0.6,22.2283061119608,6694.5542795339,0.0013176044157028,0.460564139472851
"164",0.17,0.7,108.995553411288,8010.80269515756,0.0056754117165586,0.4874335620217
"165",0.17,0.8,457.368513376612,9514.53395416347,0.0217334073425899,0.530480936853645
"166",0.17,0.9,1497.81724920751,11357.1991542365,0.0662590533663321,0.593177620401197
"167",0.17,1,3671.80265456241,13502.9176812318,0.153515407639713,0.669286923569419
"168",0.17,1.1,6958.6675930238,15788.9715097965,0.278587462441609,0.750886258893484
"169",0.17,1.2,11077.8324602167,17945.5677401149,0.428888446764545,0.825869337768399
"170",0.17,1.3,15574.082498926,19719.3950817564,0.584190890306299,0.883673571637203
"171",0.18,0.5,2.03279247163503,5310.77248434666,0.000146861419412373,0.436132786087481
"172",0.18,1.4,15701.3609325241,20097.6088252296,0.575161180727206,0.879098367042794
"173",0.18,1.5,19299.5427424963,21351.0467784623,0.691505457071682,0.916307676159805
"174",0.18,1.6,22038.9984338175,22331.8231027645,0.776173718834413,0.941827862530136
"175",0.18,1.7,24121.7203659749,23102.7297614098,0.835426991090902,0.960570101809484
"176",0.18,1.8,25721.36972,23713.70784,0.879436799632371,0.973003250314853
"177",0.18,1.9,26954.6041133073,24203.2558495277,0.909946715704762,0.982693515474119
