"","h","Agg","nc_yield","mpa_yield","nc_prop_msy","mpa_prop_msy"
"279",0.24,1.9,9153.13040438011,18231.1602309139,0.327325687044387,0.778833915954713
"280",0.24,2,11678.2041254005,19338.1464975797,0.412173077516967,0.815351554369321
"281",0.24,0.6,0.0202673090360738,4518.82865197905,1.61423055896259e-06,0.409606721678739
"282",0.24,0.7,0.109870350634519,5634.2614127636,7.18104882861764e-06,0.422723668481824
"283",0.24,0.8,0.547017162023728,6550.39455619299,3.11809541009549e-05,0.432114048614978
"284",0.24,0.9,2.51508315224397,7364.84699847922,0.000129671128526377,0.442213343110504
"285",0.24,1,10.9715055945387,8141.38671066425,0.000524218284456958,0.454983056849444
"286",0.24,1.1,43.1861368864208,8934.17551465569,0.00194604589595605,0.47203003204552
"287",0.24,1.2,141.266028975576,9795.78961962863,0.00605477253711642,0.495019072451253
"288",0.24,1.3,384.984489179178,10770.1192219629,0.0158371614857307,0.524189107365989
"289",0.25,0.5,0.00158856369956692,3028.42618999709,1.74002421492631e-07,0.371061940789036
"290",0.25,1.4,472.454425115581,11290.0712240417,0.0188278519073079,0.532313427864829
"291",0.25,1.5,1023.23015506445,12345.2743999811,0.0395861746573846,0.567427362055066
"292",0.25,1.6,1931.12570341181,13483.7728607173,0.0729823477494204,0.60574888222598
"293",0.25,1.7,3203.68583379623,14676.3289432181,0.118511934088392,0.646853821457469
"294",0.25,1.8,4796.10556385727,15898.371250818,0.174396037106706,0.689034256484103
"295",0.25,1.9,6665.35942497999,17111.1867657943,0.238360348513697,0.730988726259907
"296",0.25,2,8759.75312852435,18258.752286003,0.309168632993811,0.769841207847928
"297",0.25,0.6,0.00895210038415102,4504.30841841768,7.13008025943473e-07,0.408290543145509
"298",0.25,0.7,0.0475401235066791,5607.56215489162,3.10718903005593e-06,0.420720494080328
"299",0.25,0.8,0.235544848851043,6503.59198556795,1.34264765909157e-05,0.429026593637284
"300",0.25,0.9,1.07025641941957,7288.15241705005,5.51796299835707e-05,0.437608309596671
"301",0.25,1,4.58550522694793,8019.86259482637,0.000219095334065691,0.448191656849685
"302",0.25,1.1,18.5111431884356,8744.32675468934,0.000834145789100135,0.461999524350242
"303",0.25,1.2,65.1159227352635,9505.15995486437,0.00279091939913334,0.480332433327222
"304",0.25,1.3,189.995005471492,10343.9500907582,0.00781585146339204,0.503447162744097
"305",0.02,0.5,6998.38981462703,5697.11117791209,0.766564648698979,0.698046113043622
"306",0.02,1.4,8191.48615789928,6549.1289404781,0.326440139160427,0.308783638885375
"307",0.02,1.5,8180.76883099757,6539.81794801606,0.316493158623887,0.300590454803403
"308",0.02,1.6,8169.51364943015,6530.23189098458,0.308747527441098,0.293366011835201
"309",0.02,1.7,8158.31132717361,6520.80392301231,0.301795277201978,0.287402043991696
"310",0.02,1.8,8147.5110038486,6511.78582366336,0.296259874274268,0.282220325126748
"311",0.02,1.9,8137.31027597323,6503.31590559743,0.290998877881351,0.277821209911725
"312",0.02,2,8127.81075014707,6495.46092943734,0.286864721184064,0.273867206757626
"313",0.02,0.6,7681.30125704859,6187.11368870604,0.611792675567136,0.560827495323291
"314",0.02,0.7,7967.04584754515,6395.01926096404,0.520720512136805,0.479801309162307
"315",0.02,0.8,8101.60669463751,6492.71899709618,0.461806034667927,0.428309328283453
"316",0.02,0.9,8166.7143732171,6539.16403323453,0.42105449602444,0.392636206683143
"317",0.02,1,8196.37747314205,6559.34469682607,0.391622726772427,0.366570316231499
"318",0.02,1.1,8206.87366606017,6565.34489197823,0.369816658027776,0.346874756900252
"319",0.02,1.2,8206.72817839427,6563.52699346628,0.351746791174488,0.331680361714181
"320",0.02,1.3,8200.68336661483,6557.43735138037,0.33735267373325,0.319154984358846
"321",0.03,0.5,8798.00002660768,7373.72579284367,0.963683929916891,0.903475545343034
"322",0.03,1.4,11586.6025698703,9265.48616067242,0.461739430720715,0.436856650515977
"323",0.03,1.5,11582.5534988034,9260.26689643411,0.448099563439129,0.425630783628229
"324",0.03,1.6,11575.5770480716,9253.12751048202,0.437471671590307,0.415690156194961
"325",0.03,1.7,11567.0179333646,9245.03439851415,0.427891415711566,0.407471504169853
"326",0.03,1.8,11557.7354458816,9236.59937022744,0.420262488565491,0.400313546532557
"327",0.03,1.9,11548.2781269891,9228.20742722032,0.412978719311973,0.394228389019215
"328",0.03,2,11538.9920783224,9220.09617022494,0.407259697235591,0.388745619688444
"329",0.03,0.6,10318.602238705,8394.08967724977,0.821845812379447,0.760877612093083
"330",0.03,0.7,10950.2778420657,8830.92343840987,0.715702456729015,0.662560729523498
"331",0.03,0.8,11256.5133980753,9045.33530302042,0.641641345042379,0.596699393500317
"332",0.03,0.9,11417.9233124356,9157.93747419237,0.588678350467329,0.549877295114999
"333",0.03,1,11505.6313601673,9218.02040144882,0.549738801229192,0.515150950250038
"334",0.03,1.1,11552.6754093952,9248.98584631065,0.520584571546502,0.488662784636465
"335",0.03,1.2,11576.1570678144,9263.10223749928,0.496163149823281,0.468100322248638
"336",0.03,1.3,11585.603489211,9267.25246753075,0.476598612477824,0.451043549154403
"337",0.04,0.5,9129.54938178374,8161.5112117329,1,1
"338",0.04,1.4,14559.0599491402,11650.0521477737,0.580195273999115,0.549286100195689
"339",0.04,1.5,14570.5564400065,11655.0508722516,0.563697804677235,0.535702533357173
"340",0.04,1.6,14575.0995223759,11655.3956679193,0.550831558994382,0.523610340419815
"341",0.04,1.7,14575.1697678016,11652.8294436273,0.53917008360399,0.513594188680649
"342",0.04,1.8,14572.4072884324,11648.4992744,0.529882015391585,0.50484511338096
