"","t","mean","sd","q_025","q_975","surv_mean","surv_sd","surv_q_025","surv_q_975"
"140",140,29923158.9502142,8424656.12119455,20129427.7603378,38956085.2995993,29923158.9502142,8424656.12119455,20129427.7603378,38956085.2995993
"141",141,27572322.2611206,5645611.65586174,21124160.4412671,35167570.1356384,27572322.2611206,5645611.65586174,21124160.4412671,35167570.1356384
"142",142,33235225.3773744,12252812.4722587,13982130.4506265,39111444.0559376,33235225.3773744,12252812.4722587,13982130.4506265,39111444.0559376
"143",143,34398410.0476396,6853895.76738187,23615624.8565938,38297921.8128428,34398410.0476396,6853895.76738187,23615624.8565938,38297921.8128428
"144",144,36046400.7119908,5014123.43033205,28514363.3868774,39727593.1650002,36046400.7119908,5014123.43033205,28514363.3868774,39727593.1650002
"145",145,34845336.2529489,4884651.64522033,28656963.623422,39853246.044577,34845336.2529489,4884651.64522033,28656963.623422,39853246.044577
"146",146,36457330.7730848,3178500.87577519,32329421.7978734,38977130.5917748,36457330.7730848,3178500.87577519,32329421.7978734,38977130.5917748
"147",147,34739193.9165435,2279604.9424951,32428645.568188,37190612.865833,34739193.9165435,2279604.9424951,32428645.568188,37190612.865833
"148",148,35148414.4760159,5239142.51434668,27626381.1327127,39377172.0840132,35148414.4760159,5239142.51434668,27626381.1327127,39377172.0840132
"149",149,31822910.6866631,5130264.86757858,24536469.6937574,36339818.3342794,31822910.6866631,5130264.86757858,24536469.6937574,36339818.3342794
"150",150,31112390.960771,10802274.4934386,16141851.9912856,39426287.6421437,31112390.960771,10802274.4934386,16141851.9912856,39426287.6421437
